date,damar hamlin,gaza,damar hamlin update,bud light,travis kelce,isPartial,vivek ramaswamy,first republic bank,chatgpt,palestine,matthew perry,isPartial,chat gpt,government shutdown,bryan kohberger,israel,israel news,isPartial,ai,chris christie,taylor swift,military news,shohei ohtani,isPartial,ufo,kevin mccarthy,lamar jackson,messi,cybertruck,isPartial,desantis,layoffs,ron desantis,artificial intelligence,aaron rodgers,isPartial,buffalo bills,eagles,derrick henry,detroit lions,chiefs,isPartial,xrp,weather today,britney spears,miami heat,lebron james,isPartial,prince harry,nvidia,turkey,real madrid,wwe,isPartial,wwe news,tesla,philadelphia eagles,lakers,donald trump,isPartial
2023-01-01,100,0,13,0,0,False,0,0,9,1,0,False,5,0,2,3,0,False,34,0,9,0,0,False,5,17,2,50,1,False,3,9,2,6,6,False,59,29,1,6,31,False,3,55,5,3,8,False,7,7,15,29,9,False,0,33,2,13,3,False
2023-01-08,6,0,1,0,0,False,0,0,14,1,0,False,8,0,1,3,0,False,38,0,8,0,0,False,5,3,4,40,1,False,3,9,1,7,17,False,13,30,1,9,19,False,3,60,4,3,7,False,13,6,13,31,11,False,1,34,2,15,2,False
2023-01-15,2,0,0,0,0,False,0,0,17,1,0,False,9,0,0,3,0,False,39,0,8,0,0,False,4,1,4,43,1,False,5,23,2,7,5,False,17,29,0,2,38,False,3,48,6,3,9,False,5,6,14,63,9,False,0,33,2,16,2,False
2023-01-22,3,0,0,0,1,False,0,0,22,1,0,False,11,0,0,4,0,False,43,0,9,0,0,False,4,1,2,36,1,False,5,19,2,8,6,False,15,73,0,2,40,False,3,54,5,3,9,False,3,7,14,48,11,False,0,35,4,19,2,False
2023-01-29,1,0,0,0,3,False,0,0,25,1,0,False,13,0,0,4,0,False,46,0,8,0,0,False,4,1,1,31,1,False,7,13,3,8,7,False,2,100,0,1,89,False,3,50,4,3,11,False,2,7,13,38,14,False,1,33,6,23,2,False
2023-02-05,1,0,0,0,1,False,0,0,31,2,0,False,14,0,0,3,0,False,51,0,11,0,0,False,7,1,1,36,1,False,8,12,4,9,7,False,2,33,0,1,24,False,2,34,4,4,31,False,2,7,65,66,10,False,0,30,3,32,2,False
2023-02-12,2,0,0,0,5,False,0,0,32,5,0,False,13,0,0,3,0,False,49,0,8,0,0,False,29,0,1,29,1,False,6,9,3,9,8,False,2,83,0,1,78,False,2,28,4,3,9,False,2,6,29,37,9,False,0,31,5,17,2,False
2023-02-19,0,0,0,0,1,False,1,0,31,2,0,False,13,0,0,3,0,False,50,0,7,0,0,False,6,0,2,33,1,False,6,7,3,9,8,False,1,12,0,1,13,False,2,32,4,3,7,False,2,7,22,77,12,False,0,29,1,11,3,False
2023-02-26,0,0,0,0,0,False,0,0,30,1,0,False,14,0,0,3,0,False,47,0,8,0,0,False,5,0,3,43,1,False,10,7,5,8,7,False,1,11,0,1,8,False,2,35,3,3,8,False,2,6,15,52,9,False,0,35,1,19,2,False
2023-03-05,0,0,0,0,1,False,0,0,30,1,0,False,14,0,0,3,0,False,47,0,8,0,0,False,4,0,5,32,1,False,10,8,5,8,17,False,1,11,1,2,7,False,3,30,3,3,6,False,2,7,14,38,10,False,0,29,1,19,2,False
2023-03-12,0,0,0,0,0,False,0,3,33,1,0,False,17,0,0,3,0,False,51,0,13,0,0,False,5,0,4,30,1,False,10,8,5,8,52,False,3,14,1,3,12,False,3,49,3,2,5,False,1,6,13,54,10,False,0,27,1,18,3,False
2023-03-19,0,0,0,0,0,False,0,1,40,1,0,False,19,0,0,3,0,False,57,0,18,0,1,False,5,0,3,34,0,False,9,12,5,9,10,False,3,12,1,3,7,False,6,66,3,2,5,False,1,7,14,46,11,False,0,25,1,18,12,False
2023-03-26,0,0,0,0,0,False,0,0,40,1,0,False,18,0,0,5,0,False,60,0,14,0,1,False,5,0,5,35,1,False,12,10,5,10,6,False,2,11,0,2,8,False,8,63,3,2,6,False,2,6,15,12,11,False,0,26,1,19,9,False
